Domain,Area,Element,Item,Year,Value
"Crops and livestock products","United States of America","Yield","Cranberries","1997","172595"
"Crops and livestock products","United States of America","Yield","Cranberries","1998","166612"
"Crops and livestock products","United States of America","Yield","Cranberries","1999","186525"
"Crops and livestock products","United States of America","Yield","Cranberries","2000","172109"
"Crops and livestock products","United States of America","Yield","Cranberries","2001","167811"
"Crops and livestock products","United States of America","Yield","Cranberries","2002","161866"
"Crops and livestock products","United States of America","Yield","Cranberries","2003","176629"
"Crops and livestock products","United States of America","Yield","Cranberries","2004","177465"
"Crops and livestock products","United States of America","Yield","Cranberries","2005","181280"
"Crops and livestock products","United States of America","Yield","Cranberries","2006","200594"
"Crops and livestock products","United States of America","Yield","Cranberries","2007","192801"
"Crops and livestock products","United States of America","Yield","Cranberries","2008","230801"
"Crops and livestock products","United States of America","Yield","Cranberries","2009","201264"
"Crops and livestock products","United States of America","Yield","Cranberries","2010","198212"
"Crops and livestock products","United States of America","Yield","Cranberries","2011","224575"
"Crops and livestock products","United States of America","Yield","Cranberries","2012","223751"
"Crops and livestock products","United States of America","Yield","Cranberries","2013","239059"
"Crops and livestock products","United States of America","Yield","Cranberries","2014","231904"
"Crops and livestock products","United States of America","Yield","Cranberries","2015","234661"
"Crops and livestock products","United States of America","Yield","Cranberries","2016","260029"
"Crops and livestock products","United States of America","Yield","Cranberries","2017","235905"
"Crops and livestock products","United States of America","Yield","Cranberries","2018","254642"
"Crops and livestock products","United States of America","Yield","Cranberries","2019","230494"
"Crops and livestock products","United States of America","Yield","Cranberries","2020","223254"
"Crops and livestock products","United States of America","Yield","Cranberries","2021","208100"
"Crops and livestock products","United States of America","Yield","Cucumbers and gherkins","1961","93670"
"Crops and livestock products","United States of America","Yield","Cucumbers and gherkins","1962","92491"
"Crops and livestock products","United States of America","Yield","Cucumbers and gherkins","1963","99240"
"Crops and livestock products","United States of America","Yield","Cucumbers and gherkins","1964","94283"
"Crops and livestock products","United States of America","Yield","Cucumbers and gherkins","1965","97371"
"Crops and livestock products","United States of America","Yield","Cucumbers and gherkins","1966","96868"
"Crops and livestock products","United States of America","Yield","Cucumbers and gherkins","1967","92193"
"Crops and livestock products","United States of America","Yield","Cucumbers and gherkins","1968","87132"
"Crops and livestock products","United States of America","Yield","Cucumbers and gherkins","1969","90121"
"Crops and livestock products","United States of America","Yield","Cucumbers and gherkins","1970","100516"
"Crops and livestock products","United States of America","Yield","Cucumbers and gherkins","1971","100327"
"Crops and livestock products","United States of America","Yield","Cucumbers and gherkins","1972","101659"
"Crops and livestock products","United States of America","Yield","Cucumbers and gherkins","1973","106805"
"Crops and livestock products","United States of America","Yield","Cucumbers and gherkins","1974","104807"
"Crops and livestock products","United States of America","Yield","Cucumbers and gherkins","1975","91385"
"Crops and livestock products","United States of America","Yield","Cucumbers and gherkins","1976","112390"
"Crops and livestock products","United States of America","Yield","Cucumbers and gherkins","1977","115420"
"Crops and livestock products","United States of America","Yield","Cucumbers and gherkins","1978","117152"
"Crops and livestock products","United States of America","Yield","Cucumbers and gherkins","1979","118599"
"Crops and livestock products","United States of America","Yield","Cucumbers and gherkins","1980","120664"
"Crops and livestock products","United States of America","Yield","Cucumbers and gherkins","1981","131568"
"Crops and livestock products","United States of America","Yield","Cucumbers and gherkins","1982","128814"
"Crops and livestock products","United States of America","Yield","Cucumbers and gherkins","1983","128302"
"Crops and livestock products","United States of America","Yield","Cucumbers and gherkins","1984","133803"
"Crops and livestock products","United States of America","Yield","Cucumbers and gherkins","1985","135138"
"Crops and livestock products","United States of America","Yield","Cucumbers and gherkins","1986","129738"
"Crops and livestock products","United States of America","Yield","Cucumbers and gherkins","1987","129938"
"Crops and livestock products","United States of America","Yield","Cucumbers and gherkins","1988","122890"
"Crops and livestock products","United States of America","Yield","Cucumbers and gherkins","1989","116020"
"Crops and livestock products","United States of America","Yield","Cucumbers and gherkins","1990","126836"
"Crops and livestock products","United States of America","Yield","Cucumbers and gherkins","1991","133934"
"Crops and livestock products","United States of America","Yield","Cucumbers and gherkins","1992","151256"
"Crops and livestock products","United States of America","Yield","Cucumbers and gherkins","1993","142949"
"Crops and livestock products","United States of America","Yield","Cucumbers and gherkins","1994","142200"
"Crops and livestock products","United States of America","Yield","Cucumbers and gherkins","1995","141633"
"Crops and livestock products","United States of America","Yield","Cucumbers and gherkins","1996","146258"
"Crops and livestock products","United States of America","Yield","Cucumbers and gherkins","1997","167071"
"Crops and livestock products","United States of America","Yield","Cucumbers and gherkins","1998","161935"
"Crops and livestock products","United States of America","Yield","Cucumbers and gherkins","1999","166157"
"Crops and livestock products","United States of America","Yield","Cucumbers and gherkins","2000","174305"
"Crops and livestock products","United States of America","Yield","Cucumbers and gherkins","2001","161562"
"Crops and livestock products","United States of America","Yield","Cucumbers and gherkins","2002","159607"
"Crops and livestock products","United States of America","Yield","Cucumbers and gherkins","2003","153042"
"Crops and livestock products","United States of America","Yield","Cucumbers and gherkins","2004","152224"
"Crops and livestock products","United States of America","Yield","Cucumbers and gherkins","2005","146058"
"Crops and livestock products","United States of America","Yield","Cucumbers and gherkins","2006","147388"
"Crops and livestock products","United States of America","Yield","Cucumbers and gherkins","2007","150889"
"Crops and livestock products","United States of America","Yield","Cucumbers and gherkins","2008","157694"
"Crops and livestock products","United States of America","Yield","Cucumbers and gherkins","2009","158187"
"Crops and livestock products","United States of America","Yield","Cucumbers and gherkins","2010","164708"
"Crops and livestock products","United States of America","Yield","Cucumbers and gherkins","2011","154322"
"Crops and livestock products","United States of America","Yield","Cucumbers and gherkins","2012","162235"
"Crops and livestock products","United States of America","Yield","Cucumbers and gherkins","2013","158786"
"Crops and livestock products","United States of America","Yield","Cucumbers and gherkins","2014","162005"
"Crops and livestock products","United States of America","Yield","Cucumbers and gherkins","2015","158717"
"Crops and livestock products","United States of America","Yield","Cucumbers and gherkins","2016","169262"
"Crops and livestock products","United States of America","Yield","Cucumbers and gherkins","2017","180871"
"Crops and livestock products","United States of America","Yield","Cucumbers and gherkins","2018","156154"
"Crops and livestock products","United States of America","Yield","Cucumbers and gherkins","2019","164308"
"Crops and livestock products","United States of America","Yield","Cucumbers and gherkins","2020","153189"
"Crops and livestock products","United States of America","Yield","Cucumbers and gherkins","2021","178222"
"Crops and livestock products","United States of America","Yield","Currants","1961","35426"
"Crops and livestock products","United States of America","Yield","Currants","1962","49278"
"Crops and livestock products","United States of America","Yield","Currants","1963","50476"
"Crops and livestock products","United States of America","Yield","Currants","1964","57216"
"Crops and livestock products","United States of America","Yield","Currants","1965","74086"
"Crops and livestock products","United States of America","Yield","Currants","1966","94194"
"Crops and livestock products","United States of America","Yield","Currants","1967","71828"
"Crops and livestock products","United States of America","Yield","Currants","1968","42593"
"Crops and livestock products","United States of America","Yield","Currants","1969","47059"
"Crops and livestock products","United States of America","Yield","Currants","1970","35797"
"Crops and livestock products","United States of America","Yield","Currants","1971","39130"
"Crops and livestock products","United States of America","Yield","Currants","1972","14462"
"Crops and livestock products","United States of America","Yield","Currants","1973","31304"
"Crops and livestock products","United States of America","Yield","Currants","1974","27231"
"Crops and livestock products","United States of America","Yield","Currants","1975","29565"
"Crops and livestock products","United States of America","Yield","Currants","1976","37018"
"Crops and livestock products","United States of America","Yield","Currants","1977","25965"
"Crops and livestock products","United States of America","Yield","Currants","1978","12281"
"Crops and livestock products","United States of America","Yield","Currants","1979","15625"
"Crops and livestock products","United States of America","Yield","Currants","1980","12500"
"Crops and livestock products","United States of America","Yield","Currants","1981","12500"
"Crops and livestock products","United States of America","Yield","Currants","1982","16667"
"Crops and livestock products","United States of America","Yield","Dates","1961","114200"
"Crops and livestock products","United States of America","Yield","Dates","1962","129141"
"Crops and livestock products","United States of America","Yield","Dates","1963","117935"
"Crops and livestock products","United States of America","Yield","Dates","1964","129676"
"Crops and livestock products","United States of America","Yield","Dates","1965","118250"
"Crops and livestock products","United States of America","Yield","Dates","1966","119647"
"Crops and livestock products","United States of America","Yield","Dates","1967","113743"
"Crops and livestock products","United States of America","Yield","Dates","1968","121027"
"Crops and livestock products","United States of America","Yield","Dates","1969","85239"
"Crops and livestock products","United States of America","Yield","Dates","1970","101920"
"Crops and livestock products","United States of America","Yield","Dates","1971","109198"
"Crops and livestock products","United States of America","Yield","Dates","1972","85801"
"Crops and livestock products","United States of America","Yield","Dates","1973","123271"
"Crops and livestock products","United States of America","Yield","Dates","1974","124054"
"Crops and livestock products","United States of America","Yield","Dates","1975","135530"
"Crops and livestock products","United States of America","Yield","Dates","1976","131955"
"Crops and livestock products","United States of America","Yield","Dates","1977","145823"
"Crops and livestock products","United States of America","Yield","Dates","1978","120679"
"Crops and livestock products","United States of America","Yield","Dates","1979","122278"
"Crops and livestock products","United States of America","Yield","Dates","1980","125432"
"Crops and livestock products","United States of America","Yield","Dates","1981","121867"
"Crops and livestock products","United States of America","Yield","Dates","1982","130602"
"Crops and livestock products","United States of America","Yield","Dates","1983","90706"
"Crops and livestock products","United States of America","Yield","Dates","1984","114713"
"Crops and livestock products","United States of America","Yield","Dates","1985","147753"
"Crops and livestock products","United States of America","Yield","Dates","1986","89560"
"Crops and livestock products","United States of America","Yield","Dates","1987","86869"
"Crops and livestock products","United States of America","Yield","Dates","1988","96893"
"Crops and livestock products","United States of America","Yield","Dates","1989","98812"
"Crops and livestock products","United States of America","Yield","Dates","1990","107772"
"Crops and livestock products","United States of America","Yield","Dates","1991","95048"
"Crops and livestock products","United States of America","Yield","Dates","1992","88811"
"Crops and livestock products","United States of America","Yield","Dates","1993","118149"
"Crops and livestock products","United States of America","Yield","Dates","1994","93711"
"Crops and livestock products","United States of America","Yield","Dates","1995","97861"
"Crops and livestock products","United States of America","Yield","Dates","1996","110370"
"Crops and livestock products","United States of America","Yield","Dates","1997","116443"
"Crops and livestock products","United States of America","Yield","Dates","1998","113687"
"Crops and livestock products","United States of America","Yield","Dates","1999","101563"
"Crops and livestock products","United States of America","Yield","Dates","2000","81240"
"Crops and livestock products","United States of America","Yield","Dates","2001","90126"
"Crops and livestock products","United States of America","Yield","Dates","2002","113048"
"Crops and livestock products","United States of America","Yield","Dates","2003","77182"
"Crops and livestock products","United States of America","Yield","Dates","2004","70099"
"Crops and livestock products","United States of America","Yield","Dates","2005","68803"
"Crops and livestock products","United States of America","Yield","Dates","2006","70581"
"Crops and livestock products","United States of America","Yield","Dates","2007","68937"
"Crops and livestock products","United States of America","Yield","Dates","2008","82185"
"Crops and livestock products","United States of America","Yield","Dates","2009","79307"
"Crops and livestock products","United States of America","Yield","Dates","2010","84429"
"Crops and livestock products","United States of America","Yield","Dates","2011","90500"
"Crops and livestock products","United States of America","Yield","Dates","2012","79228"
"Crops and livestock products","United States of America","Yield","Dates","2013","83391"
"Crops and livestock products","United States of America","Yield","Dates","2014","74870"
"Crops and livestock products","United States of America","Yield","Dates","2015","85666"
"Crops and livestock products","United States of America","Yield","Dates","2016","68047"
"Crops and livestock products","United States of America","Yield","Dates","2017","72509"
"Crops and livestock products","United States of America","Yield","Dates","2018","61351"
"Crops and livestock products","United States of America","Yield","Dates","2019","89377"
"Crops and livestock products","United States of America","Yield","Dates","2020","85049"
"Crops and livestock products","United States of America","Yield","Dates","2021","85427"
"Crops and livestock products","United States of America","Yield","Eggplants (aubergines)","1961","141600"
"Crops and livestock products","United States of America","Yield","Eggplants (aubergines)","1962","176011"
"Crops and livestock products","United States of America","Yield","Eggplants (aubergines)","1963","141407"
"Crops and livestock products","United States of America","Yield","Eggplants (aubergines)","1964","151830"
"Crops and livestock products","United States of America","Yield","Eggplants (aubergines)","1965","171896"
"Crops and livestock products","United States of America","Yield","Eggplants (aubergines)","1966","172102"
"Crops and livestock products","United States of America","Yield","Eggplants (aubergines)","1967","175183"
"Crops and livestock products","United States of America","Yield","Eggplants (aubergines)","1968","165518"
"Crops and livestock products","United States of America","Yield","Eggplants (aubergines)","1969","161514"
"Crops and livestock products","United States of America","Yield","Eggplants (aubergines)","1970","176688"
"Crops and livestock products","United States of America","Yield","Eggplants (aubergines)","1971","178675"
"Crops and livestock products","United States of America","Yield","Eggplants (aubergines)","1972","189560"
"Crops and livestock products","United States of America","Yield","Eggplants (aubergines)","1973","211535"
"Crops and livestock products","United States of America","Yield","Eggplants (aubergines)","1974","209490"
"Crops and livestock products","United States of America","Yield","Eggplants (aubergines)","1975","232052"
"Crops and livestock products","United States of America","Yield","Eggplants (aubergines)","1976","228095"
"Crops and livestock products","United States of America","Yield","Eggplants (aubergines)","1977","228039"
"Crops and livestock products","United States of America","Yield","Eggplants (aubergines)","1978","212809"
"Crops and livestock products","United States of America","Yield","Eggplants (aubergines)","1979","204652"
"Crops and livestock products","United States of America","Yield","Eggplants (aubergines)","1980","207810"
"Crops and livestock products","United States of America","Yield","Eggplants (aubergines)","1981","215789"
"Crops and livestock products","United States of America","Yield","Eggplants (aubergines)","1982","255639"
"Crops and livestock products","United States of America","Yield","Eggplants (aubergines)","1983","253846"
"Crops and livestock products","United States of America","Yield","Eggplants (aubergines)","1984","260000"
"Crops and livestock products","United States of America","Yield","Eggplants (aubergines)","1985","261538"
"Crops and livestock products","United States of America","Yield","Eggplants (aubergines)","1986","265625"
"Crops and livestock products","United States of America","Yield","Eggplants (aubergines)","1987","269531"
"Crops and livestock products","United States of America","Yield","Eggplants (aubergines)","1988","272727"
"Crops and livestock products","United States of America","Yield","Eggplants (aubergines)","1989","279231"
"Crops and livestock products","United States of America","Yield","Eggplants (aubergines)","1990","275362"
"Crops and livestock products","United States of America","Yield","Eggplants (aubergines)","1991","266512"
"Crops and livestock products","United States of America","Yield","Eggplants (aubergines)","1992","274537"
"Crops and livestock products","United States of America","Yield","Eggplants (aubergines)","1993","291966"
"Crops and livestock products","United States of America","Yield","Eggplants (aubergines)","1994","256377"
"Crops and livestock products","United States of America","Yield","Eggplants (aubergines)","1995","215056"
"Crops and livestock products","United States of America","Yield","Eggplants (aubergines)","1996","256778"
"Crops and livestock products","United States of America","Yield","Eggplants (aubergines)","1997","269438"
"Crops and livestock products","United States of America","Yield","Eggplants (aubergines)","1998","268000"
"Crops and livestock products","United States of America","Yield","Eggplants (aubergines)","1999","285841"
"Crops and livestock products","United States of America","Yield","Eggplants (aubergines)","2000","334589"
"Crops and livestock products","United States of America","Yield","Eggplants (aubergines)","2001","287009"
"Crops and livestock products","United States of America","Yield","Eggplants (aubergines)","2002","290476"
"Crops and livestock products","United States of America","Yield","Eggplants (aubergines)","2003","311848"
"Crops and livestock products","United States of America","Yield","Eggplants (aubergines)","2004","323372"
"Crops and livestock products","United States of America","Yield","Eggplants (aubergines)","2005","350214"
"Crops and livestock products","United States of America","Yield","Eggplants (aubergines)","2006","336566"
"Crops and livestock products","United States of America","Yield","Eggplants (aubergines)","2007","340909"
"Crops and livestock products","United States of America","Yield","Eggplants (aubergines)","2008","342954"
"Crops and livestock products","United States of America","Yield","Eggplants (aubergines)","2009","349660"
"Crops and livestock products","United States of America","Yield","Eggplants (aubergines)","2010","357028"
"Crops and livestock products","United States of America","Yield","Eggplants (aubergines)","2011","363183"
"Crops and livestock products","United States of America","Yield","Eggplants (aubergines)","2012","369337"
"Crops and livestock products","United States of America","Yield","Eggplants (aubergines)","2013","375491"
"Crops and livestock products","United States of America","Yield","Eggplants (aubergines)","2014","379511"
"Crops and livestock products","United States of America","Yield","Eggplants (aubergines)","2015","386055"
"Crops and livestock products","United States of America","Yield","Eggplants (aubergines)","2016","369320"
"Crops and livestock products","United States of America","Yield","Eggplants (aubergines)","2017","379037"
"Crops and livestock products","United States of America","Yield","Eggplants (aubergines)","2018","378115"
"Crops and livestock products","United States of America","Yield","Eggplants (aubergines)","2019","375513"
"Crops and livestock products","United States of America","Yield","Eggplants (aubergines)","2020","377560"
"Crops and livestock products","United States of America","Yield","Eggplants (aubergines)","2021","377061"
"Crops and livestock products","United States of America","Yield","Figs","1961","69725"
"Crops and livestock products","United States of America","Yield","Figs","1962","82278"
"Crops and livestock products","United States of America","Yield","Figs","1963","71970"
"Crops and livestock products","United States of America","Yield","Figs","1964","75776"
"Crops and livestock products","United States of America","Yield","Figs","1965","70088"
"Crops and livestock products","United States of America","Yield","Figs","1966","78353"
"Crops and livestock products","United States of America","Yield","Figs","1967","51414"
"Crops and livestock products","United States of America","Yield","Figs","1968","68838"
"Crops and livestock products","United States of America","Yield","Figs","1969","78506"
"Crops and livestock products","United States of America","Yield","Figs","1970","66958"
"Crops and livestock products","United States of America","Yield","Figs","1971","62300"
"Crops and livestock products","United States of America","Yield","Figs","1972","52331"
"Crops and livestock products","United States of America","Yield","Figs","1973","60968"
"Crops and livestock products","United States of America","Yield","Figs","1974","65789"
"Crops and livestock products","United States of America","Yield","Figs","1975","56344"
"Crops and livestock products","United States of America","Yield","Figs","1976","49949"
"Crops and livestock products","United States of America","Yield","Figs","1977","71574"
"Crops and livestock products","United States of America","Yield","Figs","1978","58036"
"Crops and livestock products","United States of America","Yield","Figs","1979","72284"
"Crops and livestock products","United States of America","Yield","Figs","1980","71295"
"Crops and livestock products","United States of America","Yield","Figs","1981","59845"
"Crops and livestock products","United States of America","Yield","Figs","1982","63569"
"Crops and livestock products","United States of America","Yield","Figs","1983","51832"
"Crops and livestock products","United States of America","Yield","Figs","1984","46571"
"Crops and livestock products","United States of America","Yield","Figs","1985","41069"
"Crops and livestock products","United States of America","Yield","Figs","1986","62308"
"Crops and livestock products","United States of America","Yield","Figs","1987","64754"
"Crops and livestock products","United States of America","Yield","Figs","1988","70321"
"Crops and livestock products","United States of America","Yield","Figs","1989","63662"
"Crops and livestock products","United States of America","Yield","Figs","1990","67099"
"Crops and livestock products","United States of America","Yield","Figs","1991","63021"
"Crops and livestock products","United States of America","Yield","Figs","1992","73177"
"Crops and livestock products","United States of America","Yield","Figs","1993","96243"
"Crops and livestock products","United States of America","Yield","Figs","1994","87627"
"Crops and livestock products","United States of America","Yield","Figs","1995","79899"
"Crops and livestock products","United States of America","Yield","Figs","1996","66982"
"Crops and livestock products","United States of America","Yield","Figs","1997","79247"
"Crops and livestock products","United States of America","Yield","Figs","1998","70331"
"Crops and livestock products","United States of America","Yield","Figs","1999","72130"
"Crops and livestock products","United States of America","Yield","Figs","2000","81374"
"Crops and livestock products","United States of America","Yield","Figs","2001","62957"
"Crops and livestock products","United States of America","Yield","Figs","2002","88340"
"Crops and livestock products","United States of America","Yield","Figs","2003","83630"
"Crops and livestock products","United States of America","Yield","Figs","2004","89492"
"Crops and livestock products","United States of America","Yield","Figs","2005","86164"
"Crops and livestock products","United States of America","Yield","Figs","2006","81285"
"Crops and livestock products","United States of America","Yield","Figs","2007","117738"
"Crops and livestock products","United States of America","Yield","Figs","2008","103260"
"Crops and livestock products","United States of America","Yield","Figs","2009","105444"
"Crops and livestock products","United States of America","Yield","Figs","2010","106647"
"Crops and livestock products","United States of America","Yield","Figs","2011","100782"
"Crops and livestock products","United States of America","Yield","Figs","2012","106013"
"Crops and livestock products","United States of America","Yield","Figs","2013","105672"
"Crops and livestock products","United States of America","Yield","Figs","2014","106954"
"Crops and livestock products","United States of America","Yield","Figs","2015","111042"
"Crops and livestock products","United States of America","Yield","Figs","2016","112776"
"Crops and livestock products","United States of America","Yield","Figs","2017","104428"
"Crops and livestock products","United States of America","Yield","Figs","2018","108416"
"Crops and livestock products","United States of America","Yield","Figs","2019","112985"
"Crops and livestock products","United States of America","Yield","Figs","2020","113028"
"Crops and livestock products","United States of America","Yield","Figs","2021","114041"
"Crops and livestock products","United States of America","Yield","Ginger, raw","1985","411765"
"Crops and livestock products","United States of America","Yield","Ginger, raw","1986","411765"
"Crops and livestock products","United States of America","Yield","Ginger, raw","1987","411765"
"Crops and livestock products","United States of America","Yield","Ginger, raw","1988","411765"
"Crops and livestock products","United States of America","Yield","Ginger, raw","1989","558904"
"Crops and livestock products","United States of America","Yield","Ginger, raw","1990","538750"
"Crops and livestock products","United States of America","Yield","Ginger, raw","1991","538911"
"Crops and livestock products","United States of America","Yield","Ginger, raw","1992","449573"
"Crops and livestock products","United States of America","Yield","Ginger, raw","1993","299333"
"Crops and livestock products","United States of America","Yield","Ginger, raw","1994","453333"
"Crops and livestock products","United States of America","Yield","Ginger, raw","1995","526000"
"Crops and livestock products","United States of America","Yield","Ginger, raw","1996","532500"
"Crops and livestock products","United States of America","Yield","Ginger, raw","1997","499091"
"Crops and livestock products","United States of America","Yield","Ginger, raw","1998","544000"
"Crops and livestock products","United States of America","Yield","Ginger, raw","1999","521429"
"Crops and livestock products","United States of America","Yield","Ginger, raw","2000","561743"
"Crops and livestock products","United States of America","Yield","Ginger, raw","2001","559247"
"Crops and livestock products","United States of America","Yield","Ginger, raw","2002","502462"
"Crops and livestock products","United States of America","Yield","Ginger, raw","2003","418769"
"Crops and livestock products","United States of America","Yield","Ginger, raw","2004","446230"
"Crops and livestock products","United States of America","Yield","Ginger, raw","2005","472041"
"Crops and livestock products","United States of America","Yield","Ginger, raw","2006","487500"
"Crops and livestock products","United States of America","Yield","Ginger, raw","2007","396875"
"Crops and livestock products","United States of America","Yield","Ginger, raw","2008","340000"
"Crops and livestock products","United States of America","Yield","Ginger, raw","2009","340000"
"Crops and livestock products","United States of America","Yield","Ginger, raw","2010","348129"
"Crops and livestock products","United States of America","Yield","Ginger, raw","2011","370488"
"Crops and livestock products","United States of America","Yield","Ginger, raw","2012","353458"
"Crops and livestock products","United States of America","Yield","Ginger, raw","2013","342519"
"Crops and livestock products","United States of America","Yield","Ginger, raw","2014","336631"
"Crops and livestock products","United States of America","Yield","Ginger, raw","2015","335079"
"Crops and livestock products","United States of America","Yield","Ginger, raw","2016","347440"
"Crops and livestock products","United States of America","Yield","Ginger, raw","2017","339739"
"Crops and livestock products","United States of America","Yield","Ginger, raw","2018","352006"
"Crops and livestock products","United States of America","Yield","Ginger, raw","2019","346407"
"Crops and livestock products","United States of America","Yield","Ginger, raw","2020","346061"
"Crops and livestock products","United States of America","Yield","Ginger, raw","2021","348160"
"Crops and livestock products","United States of America","Yield","Grapes","1961","142683"
"Crops and livestock products","United States of America","Yield","Grapes","1962","137030"
"Crops and livestock products","United States of America","Yield","Grapes","1963","158190"
"Crops and livestock products","United States of America","Yield","Grapes","1964","143797"
"Crops and livestock products","United States of America","Yield","Grapes","1965","178455"
"Crops and livestock products","United States of America","Yield","Grapes","1966","153124"
"Crops and livestock products","United States of America","Yield","Grapes","1967","126272"
"Crops and livestock products","United States of America","Yield","Grapes","1968","146926"
"Crops and livestock products","United States of America","Yield","Grapes","1969","160848"
"Crops and livestock products","United States of America","Yield","Grapes","1970","129910"
"Crops and livestock products","United States of America","Yield","Grapes","1971","167344"
"Crops and livestock products","United States of America","Yield","Grapes","1972","108840"
"Crops and livestock products","United States of America","Yield","Grapes","1973","171492"
"Crops and livestock products","United States of America","Yield","Grapes","1974","160924"
"Crops and livestock products","United States of America","Yield","Grapes","1975","156263"
"Crops and livestock products","United States of America","Yield","Grapes","1976","140575"
"Crops and livestock products","United States of America","Yield","Grapes","1977","133035"
"Crops and livestock products","United States of America","Yield","Grapes","1978","142146"
"Crops and livestock products","United States of America","Yield","Grapes","1979","160574"
"Crops and livestock products","United States of America","Yield","Grapes","1980","180055"
"Crops and livestock products","United States of America","Yield","Grapes","1981","139078"
"Crops and livestock products","United States of America","Yield","Grapes","1982","196585"
"Crops and livestock products","United States of America","Yield","Grapes","1983","165855"
"Crops and livestock products","United States of America","Yield","Grapes","1984","151637"
"Crops and livestock products","United States of America","Yield","Grapes","1985","160959"
"Crops and livestock products","United States of America","Yield","Grapes","1986","152078"
"Crops and livestock products","United States of America","Yield","Grapes","1987","154606"
"Crops and livestock products","United States of America","Yield","Grapes","1988","177738"
"Crops and livestock products","United States of America","Yield","Grapes","1989","178441"
"Crops and livestock products","United States of America","Yield","Grapes","1990","171530"
"Crops and livestock products","United States of America","Yield","Grapes","1991","169248"
"Crops and livestock products","United States of America","Yield","Grapes","1992","181813"
"Crops and livestock products","United States of America","Yield","Grapes","1993","177720"
"Crops and livestock products","United States of America","Yield","Grapes","1994","169531"
"Crops and livestock products","United States of America","Yield","Grapes","1995","169643"
"Crops and livestock products","United States of America","Yield","Grapes","1996","153940"
"Crops and livestock products","United States of America","Yield","Grapes","1997","195027"
"Crops and livestock products","United States of America","Yield","Grapes","1998","152384"
"Crops and livestock products","United States of America","Yield","Grapes","1999","154521"
"Crops and livestock products","United States of America","Yield","Grapes","2000","182076"
"Crops and livestock products","United States of America","Yield","Grapes","2001","157930"
"Crops and livestock products","United States of America","Yield","Grapes","2002","173185"
"Crops and livestock products","United States of America","Yield","Grapes","2003","152971"
"Crops and livestock products","United States of America","Yield","Grapes","2004","149911"
"Crops and livestock products","United States of America","Yield","Grapes","2005","187367"
"Crops and livestock products","United States of America","Yield","Grapes","2006","151798"
"Crops and livestock products","United States of America","Yield","Grapes","2007","168929"
"Crops and livestock products","United States of America","Yield","Grapes","2008","175305"
"Crops and livestock products","United States of America","Yield","Grapes","2009","173381"
"Crops and livestock products","United States of America","Yield","Grapes","2010","175944"
"Crops and livestock products","United States of America","Yield","Grapes","2011","173894"
"Crops and livestock products","United States of America","Yield","Grapes","2012","165831"
"Crops and livestock products","United States of America","Yield","Grapes","2013","185714"
"Crops and livestock products","United States of America","Yield","Grapes","2014","170855"
"Crops and livestock products","United States of America","Yield","Grapes","2015","168279"
"Crops and livestock products","United States of America","Yield","Grapes","2016","170904"
"Crops and livestock products","United States of America","Yield","Grapes","2017","165887"
"Crops and livestock products","United States of America","Yield","Grapes","2018","181729"
"Crops and livestock products","United States of America","Yield","Grapes","2019","166893"
"Crops and livestock products","United States of America","Yield","Grapes","2020","146376"
"Crops and livestock products","United States of America","Yield","Grapes","2021","150024"
"Crops and livestock products","United States of America","Yield","Green corn (maize)","1961","82225"
"Crops and livestock products","United States of America","Yield","Green corn (maize)","1962","84800"
"Crops and livestock products","United States of America","Yield","Green corn (maize)","1963","87734"
"Crops and livestock products","United States of America","Yield","Green corn (maize)","1964","85377"
"Crops and livestock products","United States of America","Yield","Green corn (maize)","1965","88345"
"Crops and livestock products","United States of America","Yield","Green corn (maize)","1966","89972"
"Crops and livestock products","United States of America","Yield","Green corn (maize)","1967","93521"
"Crops and livestock products","United States of America","Yield","Green corn (maize)","1968","99649"
"Crops and livestock products","United States of America","Yield","Green corn (maize)","1969","96978"
"Crops and livestock products","United States of America","Yield","Green corn (maize)","1970","94448"
"Crops and livestock products","United States of America","Yield","Green corn (maize)","1971","98840"
"Crops and livestock products","United States of America","Yield","Green corn (maize)","1972","101927"
"Crops and livestock products","United States of America","Yield","Green corn (maize)","1973","102053"
"Crops and livestock products","United States of America","Yield","Green corn (maize)","1974","96914"
"Crops and livestock products","United States of America","Yield","Green corn (maize)","1975","101415"
"Crops and livestock products","United States of America","Yield","Green corn (maize)","1976","103529"
"Crops and livestock products","United States of America","Yield","Green corn (maize)","1977","109934"
"Crops and livestock products","United States of America","Yield","Green corn (maize)","1978","115174"
"Crops and livestock products","United States of America","Yield","Green corn (maize)","1979","118780"
"Crops and livestock products","United States of America","Yield","Green corn (maize)","1980","115830"
"Crops and livestock products","United States of America","Yield","Green corn (maize)","1981","118568"
"Crops and livestock products","United States of America","Yield","Green corn (maize)","1982","122612"
"Crops and livestock products","United States of America","Yield","Green corn (maize)","1983","112751"
"Crops and livestock products","United States of America","Yield","Green corn (maize)","1984","120423"
"Crops and livestock products","United States of America","Yield","Green corn (maize)","1985","122667"
"Crops and livestock products","United States of America","Yield","Green corn (maize)","1986","124050"
"Crops and livestock products","United States of America","Yield","Green corn (maize)","1987","130870"
"Crops and livestock products","United States of America","Yield","Green corn (maize)","1988","112320"
"Crops and livestock products","United States of America","Yield","Green corn (maize)","1989","131038"
"Crops and livestock products","United States of America","Yield","Green corn (maize)","1990","130977"
